mod,protein1,protein2,interaction,interaction_pair
POSPLUDREYFAQC-PBHICJAKSA-N,Q9UMS7,A8MYV6,1,VHL_HIF1A
VALDLJHSDBHIOB-UHFFFAOYSA-N,P35222,H0YAR8,1,Beta-catenin_TCF
KYLSQLDAQDRMOB-UHFFFAOYSA-N,P07355,Q6FGE5,0,Annexin A2_S100-A10
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q9UNS8,1,NRP_VEGF
BESZANVZRKJWLW-UHFFFAOYSA-N,Q13969,Q5NUL3,1,CD4_gp120
ZGMGSSRLZJYOKH-UHFFFAOYSA-N,AF-A0A024R8I1-F1-model_v4,A0A0D9SFA9,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
CLHWAAAYYHMVJX-ZJSXRUAMSA-O,P98170,Q9NR28,1,XIAP_SMAC
BVWHOZYQECWMFG-UHFFFAOYSA-N,P55209,P15692,1,NRP_VEGF
UGEUNXISLGGFQR-UHFFFAOYSA-N,Q13671,Q05655,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
BULPVMQBJAMSRN-MSOLQXFVSA-N,Q9UMS7,A8MYV6,1,VHL_HIF1A
KWGRBVOPPLSCSI-WCBMZHEXSA-N,A0A3B3IUA8,B7Z8B8,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
RIBYLXUNNWIWJK-AOMKIAJQSA-N,AF-R6XDM2-F1-model_v4,P04637,1,XDM2_P53
LPIAZFVJRVLOKG-UHFFFAOYSA-N,B0LXF2,A1ECD1,1,GATA4_NKX2-5
KLVROILKFAUNOW-UHFFFAOYSA-N,P07355,P60903,0,Annexin A2_S100-A10
IQPNAANSBPBGFQ-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,Q6NXT2,1,PB1-5_H3
BNNGGVFMRFZPFH-UHFFFAOYSA-N,Q96GG9,M0QX69,0,DCN1_UBE2M
UGZJMSVKXJNNSN-UHFFFAOYSA-N,M0R0H4,Q8NB78,1,Bromodomain_Histone
MCEVWKLGFYQYRT-UHFFFAOYSA-N,V9GZ59,AF-A0A0S2Z448-F1-model_v4,1,WDR5_Mixed-lineage leukemia 1 (MLL1)
LJMQHGKETUOVSG-NTEUORMPSA-N,P04271,A0A0U1RQC9,1,S100B_p53
CXKWCBBOMKCUKX-UHFFFAOYSA-M,E9PFV2,Q9Y6Q9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
WMKGGPCROCCUDY-PHEQNACWSA-N,H0YM16,A0A2U3TZT9,1,Perilipin-1_ABHD5
SUNSLACFIOGRFF-VWLOTQADSA-N,Q8NBP7,Q9UH51,1,PCSK9_LDLR
JNBOAUIJLDEICX-DWJNXXKWSA-N,H0YM16,A0A0S2Z572,1,Perilipin-1_ABHD5
ZYFUGIKJSBBBQC-NHCUHLMSSA-N,P78545,B9TX56,0,ELF3_MED23
ZNYWQWSQKLMSTM-UHFFFAOYSA-N,M4PPE1,Q14397,1,Glucokinase_Glucokinase regulatory protein
AARUNXNNAZIAQK-UHFFFAOYSA-N,B3CJ63,G3V2R5,1,MYC_MAX
WRUJNGZEAXMDHO-MSOLQXFVSA-N,Q13969,Q5NUL3,1,CD4_gp120
ICKFFNBDFNZJSX-UHFFFAOYSA-N,Q05397,B5A927,1,FAK_VEGFR3
KYHKYEUYJZTRCP-UHFFFAOYSA-N,Q86YN6,H7C1Y3,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor corepressor 2
URRDWILHXUGXPV-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,P0DPK2,1,PB1-5_H3
WWWJNTZPXCPXAB-UHFFFAOYSA-N,A0A0S2Z4C5,S4R334,1,S100B_p53
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DSW9,Q8N100,1,Catenin beta-1_Transcription factor 7
BAMXBFLPNULUET-UHFFFAOYSA-N,B3CJ63,Q6V3B1,1,MYC_MAX
BJNWHSZSRCJLNX-IQCCBIBNSA-N,B4E3L8,H7BZE5,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
UEGSVADLZPXOAG-SXLOBPIMSA-N,S5GGH7,O75475,1,INTEGRASE_LEDGF
NCUGRABFFNHPIF-UHFFFAOYSA-N,Q6W2J9,C9JL16,0,BCoR_BCL6
HJLVADIYJRSVIR-JQIJEIRASA-N,AF-A0A024R8I1-F1-model_v4,A0A0G2JMD7,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
KCALAFIVPCAXJI-UHFFFAOYSA-N,Q13671,A0A023PX70,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
JVRFSWXFNVLIFF-UHFFFAOYSA-N,P78460,C9K0N6,1,HRAS_SOS1
MBISWCGGLARJBA-UHFFFAOYSA-N,O75475,AF-A0A0M3KKW8-F1-model_v4,1,LEDGF_IN
BJNWHSZSRCJLNX-IQCCBIBNSA-N,B4DG83,E9PAM9,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
ZKSQOOWYDWQKRZ-QGZVFWFLSA-N,P04637,I6TZT4,1,P53_HDM2
KZNIFHPLKGYRTM-UHFFFAOYSA-N,U5P039,A0A494C0A9,1,Runt-related transcription factor 1_Core-binding factor subunit beta
HYOHIKTYHWSZKP-UHFFFAOYSA-N,A4D2P1,A0A1B0GW57,0,RAC1_TIAM1
HFHKGYSSGAHTMV-UHFFFAOYSA-N,A0A087WTR9,P04637,0,MDM4_P53
BAMXBFLPNULUET-UHFFFAOYSA-N,Q14901,Q8IYC6,1,MYC_MAX
CXKWCBBOMKCUKX-UHFFFAOYSA-M,P37231,B4DL21,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
PBFOTDPMLSLTEY-QGLTVNCISA-N,B1AKU3,Q9NR28,1,XIAP_SMAC
DHPXTEFKFUCWDK-UHFFFAOYSA-N,A0A0S2Z4C5,A0A0U1RQC9,1,S100B_p53
HAFZKOVMNKGNKS-UHFFFAOYSA-N,B2R6I9,A8K719,1,Runt-related transcription factor 1_Core-binding factor subunit beta
HYVGIYUMYNDTLT-UHFFFAOYSA-N,A1A564,A0N7C7,1,BCoR_BCL6
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q9UBK2,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
MSZJBCLQSZKRQD-UHFFFAOYSA-N,Q0VDC6,Q1JUQ3,1,FKBP1A_FK506
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q6WZM0,1,NRP_VEGF
OETIEACSNLUWLZ-UHFFFAOYSA-N,A0N2G3,A0A494C130,1,MYC_MAX
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H6V7,P01374,1,TNFR1A_TNFB
YKUGUWMZBHIDFR-LJQANCHMSA-N,P61964,AF-A0A0S2Z448-F1-model_v4,0,WDR5_Mixed-lineage leukemia 1 (MLL1)
BBVKWFPUAZBKNG-SFTDATJTSA-N,P04637,O15151,0,p53_MDMX
BHXCHKMTMFQWLX-JTQLQIEISA-N,Q53TG3,Q96LD9,1,BAZ2B_H4
GHKISGDRQRSCII-UHFFFAOYSA-N,O00255,Q9UPD0,0,MENIN_MLL
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H6V7,P01374,1,TNFR1A_TNFB
VLUCXJXOZXEFPA-IYBDPMFKSA-N,AF-P56273-F1-model_v4,P04637,1,XDM2_P53
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H8A6,P01374,1,TNFR1A_TNFB
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q5VV67,Q9Y6Q9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
HJLVADIYJRSVIR-JQIJEIRASA-N,AF-A0A024R8I1-F1-model_v4,A0A0G2JMD7,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
LICJTIDRHJECTD-SFHVURJKSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,1,ZIPA_FTSZ
VMEDTSNKTYMQLG-UHFFFAOYSA-N,O43521,Q07812,0,"BCL-like_BAX,BAK"
CXKWCBBOMKCUKX-UHFFFAOYSA-M,P37231,B4DYS9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
KWGRBVOPPLSCSI-WCBMZHEXSA-N,A0A3B3IUA8,O14924,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
QFWUINADTOYHEQ-UHFFFAOYSA-N,L7RSL8,Q9UKX9,1,KRAS_SOS1
RYVLOOXFFIFQEN-UHFFFAOYSA-N,M0QYW0,Q14493,1,Bromodomain_Histone
LUSNYUGJESXMCA-IAGOWNOFSA-N,F5GYA9,Q5NUL3,1,CD4_gp120
OHTDXSAFYXPXKY-UHFFFAOYSA-O,A4D2P0,A0A1B0GW57,1,RAC1_TIAM1
HHCQSPDKQREYGG-UHFFFAOYSA-N,B3KUF4,A0A0S2Z383,1,GATA4_NKX2-5
PHINNLAJTUGZSZ-HXUWFJFHSA-N,V9GZ59,AF-A0A0S2Z448-F1-model_v4,1,WDR5_Mixed-lineage leukemia 1 (MLL1)
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,P15692,1,NRP_VEGF
TXBDQGZNVQYFMO-UHFFFAOYSA-N,Q96GG9,M0QYI6,1,DCN1_UBE2M
KHTPXNJKROZWBI-UHFFFAOYSA-N,B5A213,Q96LD9,1,CREBBP_H4
QFWUINADTOYHEQ-UHFFFAOYSA-N,G3V4K2,Q9UKX9,1,KRAS_SOS1
FSUGJBWDOIVSMH-SFHVURJKSA-N,A0A3G1LBH1,Q8NIA3,1,KRAS_SOS1
BBVKWFPUAZBKNG-SFTDATJTSA-N,K7PPA8,O15151,0,p53_MDMX
NXMMGKCWIKUXOJ-UHFFFAOYSA-N,P04271,P04637,1,S100B_p53
JXEJTHPNNOJYJU-UHFFFAOYSA-N,O75475,AF-A0A0M3KKW8-F1-model_v4,1,LEDGF_IN
STTPQIQVBHXOSA-UHFFFAOYSA-N,Q96GG9,M0QYI6,1,DCN1_UBE2M
JVRFSWXFNVLIFF-UHFFFAOYSA-N,A0A804HKM6,Q07889,1,HRAS_SOS1
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9GZT4,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DL06,P17544,1,Catenin beta-1_Transcription factor 7
IAYFTVLDDWMEDT-XYOKQWHBSA-N,AF-Q00975-F1-model_v4,A0A0G2JMD7,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
IQPNAANSBPBGFQ-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,Q16695,1,PB1-5_H3
UXGUZFZBZPPZGL-UHFFFAOYSA-N,J9PH39,P01374,1,TNFR1A_TNFB
CZFQGFWDWGRJMB-UHFFFAOYSA-N,D0VY79,Q09472,1,HIF-1a_p300
BBVKWFPUAZBKNG-SFTDATJTSA-N,P04637,O15151,0,p53_MDMX
YGSXHEXJOFMTHZ-UHFFFAOYSA-N,B7Z5M1,H3BSK1,0,Importin subunit beta-1_Snurportin-1
KWGRBVOPPLSCSI-WCBMZHEXSA-N,P63096,A0A2R8YCJ1,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
RZPCAEILZXDTRZ-UHFFFAOYSA-N,A6NMY6,Q6FGE5,0,Annexin A2_S100-A10
KWGRBVOPPLSCSI-WCBMZHEXSA-N,A0A3B3IUA8,E9PBG5,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
SVBCOAAIOJDZNC-BQYQJAHWSA-N,AF-Q9NVM2-F1-model_v4,Q16695,1,PB1-5_H3
IAYFTVLDDWMEDT-XYOKQWHBSA-N,AF-A0A024R8I1-F1-model_v4,Q02410,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
STQXHFNGNQVFQB-UHFFFAOYSA-N,Q96GG9,M0QYI6,0,DCN1_UBE2M
BBVKWFPUAZBKNG-SFTDATJTSA-N,A0A0U1RQC9,O15151,0,p53_MDMX
QCLBVGLQKICMSD-UHFFFAOYSA-N,Q6WZM0,P17948,1,VEGF_VEGFR
DGFFYPGDYTWIMY-KKYDWHDCSA-N,Q6X907,P15692,1,Neuropilin-1_VEGF-A
LEFMIEUBWDMNAT-UHFFFAOYSA-N,A0A3G1LBH1,Q8NIA3,1,KRAS_SOS1
XEQHHCPXXLCBHN-UHFFFAOYSA-N,P07355,P60903,0,Annexin A2_S100-A10
NGYBMZSHQLKMLG-UHFFFAOYSA-N,K7EJD8,Q16236,1,KEAP1_NRF2
MQUQNUAYKLCRME-INIZCTEOSA-N,O60240,C9J1D1,1,Perilipin-1_ABHD5
LEYACHSFIUEDPZ-UHFFFAOYSA-N,O00255,Q9UPD0,0,MENIN_MLL
UBIYGQSBASEDGP-UHFFFAOYSA-N,P04637,I6TZT4,1,P53_HDM2
ATOXVCQZZLATRT-WKXZFCCTSA-N,S5GGH7,O75475,1,INTEGRASE_LEDGF
DSHYKWSHOCCDGA-UHFFFAOYSA-N,O14788,Q9Y6Q6,1,RANKL_RANK
QMETXUTZEYHEJB-UHFFFAOYSA-N,P27540,Q99814,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
ATOWVXQDPITWDC-UHFFFAOYSA-N,Q1JUQ5,Q5W0X3,0,FKBP1A_FK506
JTUWBMRONSWGPE-BVMALAMASA-N,D0VY79,Q09472,1,HIF-1a_p300
MYDWYIXNAVEODC-SZMVWBNQSA-N,P98170,Q9NR28,1,XIAP_SMAC
SUNSLACFIOGRFF-VWLOTQADSA-N,A0A669KBG0,Q9UH51,1,PCSK9_LDLR
FQENXGGVLOXLKU-UHFFFAOYSA-N,Q5T179,H0Y9I9,1,Cyclin-dependent kinases regulatory subunit 1_S-phase kinase-associated protein 2
PPPUPFCXAZKVHC-UHFFFAOYSA-N,A4D2P0,A0A1B0GW57,1,RAC1_TIAM1
IYZOZIOKUVVNQG-UHFFFAOYSA-N,Q96GG9,M0QX69,0,DCN1_UBE2M
BMLSQFVWOWLKAW-UHFFFAOYSA-N,B3KUF4,A1ECD1,1,GATA4_NKX2-5
GRIAZRCYPXFJJF-UHFFFAOYSA-N,E9PFV2,C9J330,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor corepressor 2
ICKFFNBDFNZJSX-UHFFFAOYSA-N,Q05397,B5A928,1,FAK_VEGFR3
YQPIBQOIIIQHCV-UHFFFAOYSA-N,A0A2R8YCH5,H0YAR8,1,Beta-catenin_TCF
UXGUZFZBZPPZGL-UHFFFAOYSA-N,F5H6V7,P01374,1,TNFR1A_TNFB
DIFKWHRMEGFLSD-DBEUHZBBSA-N,P35222,P36402,1,Catenin beta-1_Transcription factor 7
DSHYKWSHOCCDGA-UHFFFAOYSA-N,O14788,Q9Y6Q6,1,RANKL_RANK
RGUBGBHZZCMGKT-TVFIUFHYSA-N,A8MYV6,Q09472,1,HIF-1a_p300
PSKXJOTVPOZHPG-INIZCTEOSA-N,P62942,P62942,1,FKBP1A_FK506
WFBGXSNIRYDHLU-BJKOFHAPSA-N,P04637,I6SST5,0,P53_HDM2
KLVROILKFAUNOW-UHFFFAOYSA-N,A6NMY6,P60903,0,Annexin A2_S100-A10
QOOSZVJRQSFDSU-UHFFFAOYSA-N,I4AY87,AF-P04233-F1-model_v4,0,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
ALXMSKACQCRMOE-UHFFFAOYSA-N,V9H0F2,O75475,1,INTEGRASE_LEDGF
VDYXYRVTGGABFJ-UHFFFAOYSA-N,Q9UL45,Q86U86,0,PA_PB1
NMICSFNNFDNGEL-ILBGXUMGSA-N,A0A2R8YCH5,E5RG34,1,Beta-catenin_TCF
MGWJFVUZXCZWFY-LCFDYFRESA-N,Q9HD36,Q16611,0,"BCL-like_BAX,BAK"
OZGKVRXNNDLXIA-QZTJIDSGSA-N,P01730,Q5NUL3,1,CD4_gp120
WMKGGPCROCCUDY-PHEQNACWSA-N,O60240,C9J1D1,1,Perilipin-1_ABHD5
STAVPWADWLEVHH-UHFFFAOYSA-N,B5A248,Q96LD9,1,CREBBP_H4
QMETXUTZEYHEJB-UHFFFAOYSA-N,Q9HBZ2,C9J9N2,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
NVRHWELRHNYZOU-QGZVFWFLSA-N,M4PPE1,Q14397,1,Glucokinase_Glucokinase regulatory protein
MQUQNUAYKLCRME-INIZCTEOSA-N,O60240,A0A2U3TZT9,1,Perilipin-1_ABHD5
AVBIJCXWANKDCU-UHFFFAOYSA-N,B0LXF2,A1ECB6,1,GATA4_NKX2-5
GZZSSYVKMPAQRS-UHFFFAOYSA-N,V9GYQ5,AF-A0A0S2Z449-F1-model_v4,1,WDR5_Mixed-lineage leukemia 1 (MLL1)
ZWIZSXLYGHTUGZ-UHFFFAOYSA-N,P03971,AF-E7EQJ3-F1-model_v4,0,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
BVWHOZYQECWMFG-UHFFFAOYSA-N,O14786,P15692,1,NRP_VEGF
ZKYCDDDSQVOERN-UHFFFAOYSA-N,Q6W2J9,Q16413,1,BCoR_BCL6
JVRFSWXFNVLIFF-UHFFFAOYSA-N,P01112,Q9UKX9,1,HRAS_SOS1
DIFKWHRMEGFLSD-DBEUHZBBSA-N,P35222,Q8N100,1,Catenin beta-1_Transcription factor 7
UMPJRGAFFRSXRX-MHWRWJLKSA-N,Q9UBK2,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
CFTIEVZHOMMXRG-CMDGGOBGSA-N,O14980,Q9UBZ9,0,CRM1_Rev
DTDHAVMTRCRSNB-UHFFFAOYSA-N,A0A2R8Y5A3,P36402,1,Beta-catenin_TCF
LMIQERWZRIFWNZ-UHFFFAOYSA-N,Q9NZG9,A0A2S1WCJ3,0,Rad51_BRCA2
BAMXBFLPNULUET-UHFFFAOYSA-N,B3CJ63,Q6V3B1,1,MYC_MAX
ALVVXSSFOOYRDP-UHFFFAOYSA-N,P62166,E9PI04,0,NCS-1_Ric8a
XRXCDHVGIACEKK-UHFFFAOYSA-N,P03971,AF-P04233-F1-model_v4,0,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RZPCAEILZXDTRZ-UHFFFAOYSA-N,P07355,P60903,0,Annexin A2_S100-A10
DDNCQMVWWZOMLN-IRLDBZIGSA-N,Q9GZQ5,Q9UM91,0,MENIN_MLL
ZDLZHWNYANWWBR-UHFFFAOYSA-N,A0A087WZ09,A0A0S2Z383,1,GATA4_NKX2-5
YTBMKTFORKIZLN-UHFFFAOYSA-N,P04637,I6SST5,0,P53_HDM2
WAOUXZZNLNSGRH-UHFFFAOYSA-N,P04271,H2EHT1,0,S100B_p53
HINIVJQEMAJGJZ-UHFFFAOYSA-N,Q9HBZ2,C9J9N2,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
QCLBVGLQKICMSD-UHFFFAOYSA-N,Q9UNS8,A0A1W2PNW4,1,VEGF_VEGFR
